P,X,S,N,T,P,F,C,N,K,E,E,S,S,W,W,P,W,O,P,K,S,U
E,X,S,Y,T,A,F,C,B,K,E,C,S,S,W,W,P,W,O,P,N,N,G
E,B,S,W,T,L,F,C,B,N,E,C,S,S,W,W,P,W,O,P,N,N,M
P,X,Y,W,T,P,F,C,N,N,E,E,S,S,W,W,P,W,O,P,K,S,U
E,X,S,G,F,N,F,W,B,K,T,E,S,S,W,W,P,W,O,E,N,A,G
E,X,Y,Y,T,A,F,C,B,N,E,C,S,S,W,W,P,W,O,P,K,N,G
E,B,S,W,T,A,F,C,B,G,E,C,S,S,W,W,P,W,O,P,K,N,M
E,B,Y,W,T,L,F,C,B,N,E,C,S,S,W,W,P,W,O,P,N,S,M
P,X,Y,W,T,P,F,C,N,P,E,E,S,S,W,W,P,W,O,P,K,V,G
E,B,S,Y,T,A,F,C,B,G,E,C,S,S,W,W,P,W,O,P,K,S,M
E,X,Y,Y,T,L,F,C,B,G,E,C,S,S,W,W,P,W,O,P,N,N,G
P,K,S,N,F,S,F,C,N,B,T,?,S,S,W,P,P,W,O,E,W,V,D
P,X,Y,E,F,F,F,C,N,B,T,?,K,S,W,W,P,W,O,E,W,V,P
P,K,Y,E,F,F,F,C,N,B,T,?,K,S,P,W,P,W,O,E,W,V,D
E,X,S,N,F,N,A,C,B,O,E,?,S,S,O,O,P,O,O,P,B,V,L
E,X,S,G,F,N,F,W,B,G,E,?,K,S,W,W,P,W,T,P,W,S,G
P,K,S,E,F,F,F,C,N,B,T,?,K,S,W,P,P,W,O,E,W,V,L
P,K,Y,E,F,F,F,C,N,B,T,?,K,S,P,P,P,W,O,E,W,V,L
E,K,S,W,F,N,F,W,B,G,E,?,K,S,W,W,P,W,T,P,W,N,G
E,B,S,N,F,N,A,C,B,Y,E,?,S,S,O,O,P,O,O,P,B,V,L
E,K,S,W,F,N,F,W,B,P,E,?,K,K,W,W,P,W,T,P,W,N,G
P,K,S,E,F,S,F,C,N,B,T,?,S,K,P,W,P,W,O,E,W,V,D
P,K,Y,N,F,F,F,C,N,B,T,?,S,K,W,W,P,W,O,E,W,V,P
P,K,S,E,F,Y,F,C,N,B,T,?,S,S,P,P,P,W,O,E,W,V,L
P,K,S,N,F,Y,F,C,N,B,T,?,K,S,P,W,P,W,O,E,W,V,D
P,K,S,E,F,F,F,C,N,B,T,?,K,K,P,P,P,W,O,E,W,V,P
P,K,Y,E,F,S,F,C,N,B,T,?,K,K,P,P,P,W,O,E,W,V,L
E,X,S,N,F,N,A,C,B,N,E,?,S,S,O,O,P,O,O,P,O,C,L
P,F,S,E,F,S,F,C,N,B,T,?,K,S,W,P,P,W,O,E,W,V,P
E,K,S,G,F,N,F,W,B,P,E,?,S,S,W,W,P,W,T,P,W,S,G
P,K,S,E,F,S,F,C,N,B,T,?,S,S,P,P,P,W,O,E,W,V,L
P,K,S,E,F,Y,F,C,N,B,T,?,S,K,P,W,P,W,O,E,W,V,L
E,F,S,N,F,N,A,C,B,N,E,?,S,S,O,O,P,O,O,P,O,V,L
P,K,S,N,F,S,F,C,N,B,T,?,S,K,P,P,P,W,O,E,W,V,L
E,X,F,G,F,N,F,W,B,P,E,?,S,K,W,W,P,W,T,P,W,S,G
E,K,S,N,F,N,A,C,B,N,E,?,S,S,O,O,P,O,O,P,O,V,L
P,F,S,E,F,S,F,C,N,B,T,?,S,S,P,P,P,W,O,E,W,V,P
P,K,S,N,F,S,F,C,N,B,T,?,S,S,W,W,P,W,O,E,W,V,D
E,F,Y,N,T,N,F,C,B,W,E,B,S,S,W,W,P,W,T,P,W,Y,P
E,X,F,G,F,N,F,W,B,G,E,?,S,K,W,W,P,W,T,P,W,N,G
E,K,S,W,F,N,F,W,B,W,E,?,K,S,W,W,P,W,T,P,W,N,G
E,B,S,N,F,N,A,C,B,N,E,?,S,S,O,O,P,N,O,P,B,C,L
P,K,Y,E,F,S,F,C,N,B,T,?,K,K,W,W,P,W,O,E,W,V,P
P,K,Y,E,F,Y,F,C,N,B,T,?,S,S,W,W,P,W,O,E,W,V,L
E,K,Y,N,F,N,F,C,B,W,E,B,Y,Y,N,N,P,W,T,P,W,Y,P
E,X,F,G,F,N,F,W,B,P,E,?,K,K,W,W,P,W,T,P,W,S,G
P,K,S,N,F,F,F,C,N,B,T,?,K,K,W,W,P,W,O,E,W,V,P
P,K,Y,E,F,F,F,C,N,B,T,?,S,K,P,P,P,W,O,E,W,V,L
P,K,Y,N,F,F,F,C,N,B,T,?,S,K,W,W,P,W,O,E,W,V,D
P,F,Y,N,F,F,F,C,N,B,T,?,S,K,W,P,P,W,O,E,W,V,L
E,F,S,N,F,N,A,C,B,Y,E,?,S,S,O,O,P,N,O,P,B,V,L
P,F,Y,E,F,F,F,C,N,B,T,?,S,S,W,P,P,W,O,E,W,V,D
P,K,S,N,F,S,F,C,N,B,T,?,S,K,P,P,P,W,O,E,W,V,P
P,K,S,N,F,F,F,C,N,B,T,?,S,K,W,P,P,W,O,E,W,V,L
